company,frequency,recency,monetary,low_hp,medium_hp,high_hp,sport_car,old_,medium_old,medium_new,new_,low_mileage,medium_low_mileage,medium_high_mileage,high_mileage,less_3k,_3k_6k_,_6k_10k_,_10k_15k_,_15k_,profit_per_car
SASU TENDANCE ET CLASSIC,1,8,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,470.0
Auto Centrum Prosek s.r.o.,1,7,4,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,701.0
OÜ Aswen auto,3,6,7,0,2,2,1,0,3,2,0,0,1,2,2,0,2,0,2,1,425.8
Marek Šenvajc,2,6,4,1,2,0,0,0,1,2,0,0,0,2,1,1,2,0,0,0,931.3333333333334
Taxi Zentrum Brandenburg Jordanov GbR,3,8,8,0,5,0,0,0,0,3,3,0,2,2,1,0,0,1,0,4,841.0
Meca Sport,1,9,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1743.0
MISSARELLI S.R.L.,1,10,5,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,581.0
"Glanzdoktor, Inh. Paul Lommatzsch",1,10,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,257.0
BESARAB VADYM,3,5,4,2,7,0,0,2,7,0,0,0,0,8,1,8,1,0,0,0,489.8888888888889
"Schakiautomobile, Inh. Farid Ayubi",3,5,2,4,2,0,0,6,0,0,0,2,1,3,0,6,0,0,0,0,144.66666666666666
Michael Salo Einzelunternehmen,1,6,4,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,-771.0
Raad GmbH,1,8,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,694.0
"Rheingau Cars, Inh. Hüsnü Tekeli",2,7,9,0,0,1,2,0,0,1,2,1,2,0,0,0,0,0,0,3,2348.3333333333335
HJM Mulder Auto's,3,7,8,0,9,0,0,0,2,7,1,4,5,0,0,0,0,3,6,0,982.8888888888889
"Automobile Benzstraße, Inh. Kudret Comak",4,7,6,9,2,0,0,6,4,0,1,2,7,2,0,8,2,0,1,0,521.4545454545455
GSI SRL,1,6,2,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,531.0
SPRL V.I.P. SYSTEM,2,10,4,2,1,0,0,1,1,1,0,1,2,0,0,1,1,1,0,0,131.66666666666666
"V.V. Automobile, Inh. Vitali Grießmann",2,4,4,1,2,0,0,2,1,0,0,0,3,0,0,0,2,0,1,0,564.0
MASS AUTO OOD,1,9,5,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1245.0
PASTORELLO S.R.L.,1,8,7,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,-2225.0
Autohaus Goeser GmbH & Co. KG - Autorisierter Mercedes-Benz PKW Verkauf und Service,2,10,8,0,1,1,1,0,0,2,2,2,1,0,0,0,0,0,0,3,-181.33333333333334
SS AUTOCENTER S.R.L.,6,5,9,3,26,0,0,4,17,8,0,0,2,27,0,6,12,10,1,0,693.4137931034483
"Örnek Automobile, Inh. Serkan Örnek",1,8,3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,347.0
SAS JEAN TUNESI SAS,2,8,7,1,0,2,0,0,0,1,3,3,0,0,0,0,0,0,1,2,787.3333333333334
MANUEL JOÃO PEREIRA CHALETA,1,8,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,350.0
POLNIKBIS Tomasz Nowak,3,8,6,3,3,0,0,0,5,1,0,0,3,3,0,0,0,6,0,0,953.6666666666666
Arba car Barbara Synowiec,1,8,3,0,2,0,0,0,2,0,0,0,1,1,0,0,2,0,0,0,637.0
Autohaus Worms GmbH,4,8,10,0,6,4,1,0,0,3,10,10,1,0,0,0,0,0,0,11,1559.1818181818182
van der Wal en Zonen V.O.F.,7,8,11,1,29,2,0,0,0,10,25,24,8,0,0,0,0,0,8,25,914.28125
TODESCHINI FRANCO & C. S.N.C.,1,10,5,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,-1815.0
ADRO-RED Kft.,1,6,2,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,569.0
URBAN MOTORS DOOEL uvoz-izvoz Ilinden,1,7,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1122.0
"Autohandel Bollig, Inh. Fabian Bollig",1,7,2,2,0,0,0,1,1,0,0,0,2,0,0,2,0,0,0,0,521.5
"Abu Automobile Regensburg, Inh. Muayad Abu-Baker Mohammed Mohammed",1,4,6,0,1,0,1,0,0,2,1,0,2,0,0,0,0,0,0,2,1690.0
Saxonia CARS & FINANCE Dresden GmbH,1,3,9,0,0,2,0,0,0,1,2,2,0,0,0,0,0,0,0,2,1866.5
"KleinWagenCenter Köhler & Sohn, Inh. Ralf Köhler",4,10,7,9,3,0,0,0,9,3,0,4,7,1,0,1,9,1,0,1,665.8333333333334
"Auto Galerie Avan, Inh. Abdulkerim Avan",1,6,4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,110.0
Autohaus Walter Mulfinger GmbH,1,10,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1044.0
MONDO CARMARKET d. o. o.,1,6,3,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,510.0
BIBACAR DI CALLEGARO ANTONIO,1,4,5,2,0,0,0,0,0,2,2,2,0,0,0,0,0,0,2,0,1356.5
Exklusiv Automobile Kerstin Kaufhold,5,1,9,6,9,0,0,5,5,5,1,6,5,4,0,2,2,3,7,1,845.2666666666667
PERSPETIVA DINAMICA - UNIPESSOAL LDA,1,10,5,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,780.5
Gebrauchtwagenhaus Wittlich OHG,1,10,5,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1157.0
A.D.R. MOTORSPORT S.A.S. DI A. DAZZAN & C.,1,9,9,0,0,1,1,1,0,0,1,0,2,0,0,0,0,0,0,2,2333.5
JIM AUTO D.O.O.,2,7,4,2,2,0,0,0,3,1,0,1,0,3,0,0,3,1,0,0,690.5
CASA,1,10,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,96.0
Petr Houdek,1,10,3,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,468.0
INSTAL ELECTRIC PAWEŁ WÓJCIK,1,9,4,1,1,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,809.0
Filip Gombala - AUTOCENTRUM GOMBALA,5,4,9,0,19,0,0,5,7,6,1,1,3,13,2,4,6,4,5,0,792.6315789473684
NR Automobile,2,10,5,0,4,0,0,0,1,3,0,0,3,1,0,0,1,2,1,0,-1438.0
"AUTODADO GROUP, s.r.o.",2,10,5,1,3,0,0,0,2,1,1,0,4,0,0,0,2,1,0,1,340.25
"Auto Schmidt, Inh. Felix Schmidt",6,4,9,2,25,1,0,5,14,9,0,4,22,2,0,0,7,11,8,2,997.6785714285714
Wessing Automotive (universeel jong),1,9,4,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1185.0
BENJAMIN SANZ MOMPO,1,9,5,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1044.0
Motorrad Martin GmbH,1,10,5,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,916.0
Václav Bulka,2,1,4,2,2,0,0,3,1,0,0,0,1,3,0,3,0,1,0,0,445.5
SLC AUTO CRISTI 4X4 S.R.L.,1,10,3,0,2,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,-364.0
"Lucky Mobile, Inh. Alban Istogu",3,3,6,4,3,1,0,2,4,2,0,1,7,0,0,3,2,1,2,0,150.125
"Auto Sud, Inh. Pasquale Manfreda",1,10,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,362.0
INTACTE LEVANTINA SL,1,10,5,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1171.0
NITIDO & COLOSSAL - LDA,1,7,3,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,521.0
ALBA JUMPERS S.R.L.,1,7,6,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,776.5
MGRUPA Marcin Kozub,3,9,4,1,5,0,0,2,4,0,0,0,1,5,0,3,3,0,0,0,579.1666666666666
X-CAR SNC DI SEGHIZZI MARCO & C.,1,9,5,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,495.0
Vrå AutoTech,1,10,7,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,2288.0
MOJE AUTO Justyna Listopadzka,1,8,2,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,630.0
ARAL S.R.L.,1,10,4,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,-8328.0
"Gold Cars, Inh. Altun Halim",2,8,3,1,2,0,0,2,1,0,0,0,3,0,0,1,2,0,0,0,550.3333333333334
R.L.C Reubsaet,5,9,8,14,1,1,0,0,7,9,0,2,14,0,0,1,10,5,0,0,673.875
LOC Fahrzeuge OHG,6,4,11,0,5,3,13,0,1,13,11,14,7,0,0,0,0,0,1,20,1667.1904761904761
RAMIX AUTOMOTIVE S.R.L.,4,4,5,7,2,1,0,0,9,1,0,0,3,7,0,6,3,1,0,0,676.2
IONESCUDISTRIB S.R.L.,3,4,4,2,3,1,0,2,4,0,0,0,1,4,1,5,1,0,0,0,473.1666666666667
SERVICE DI CIRIONI GIANCARLO,1,9,4,0,1,1,0,2,0,0,0,0,1,1,0,1,0,0,1,0,625.5
"Xautoteile.de, Inh. Susann Kardasz",3,9,2,2,3,0,0,5,0,0,0,1,4,0,0,5,0,0,0,0,92.2
UAB Arkamis,1,10,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1447.0
RAIMUNDAS PETKUS,2,7,4,0,2,1,0,2,1,0,0,0,0,1,2,2,0,1,0,0,306.6666666666667
"CS-Automobile, Inh. Yasin Celik",3,1,9,0,3,1,1,0,3,0,2,2,2,1,0,0,1,2,0,2,-345.6
LORD Automobile e.K. Stuttgart,5,6,9,0,13,4,0,5,12,0,0,6,11,0,0,1,5,4,7,0,240.8235294117647
Holdinga Automotive B.V.,4,3,9,4,7,0,0,0,2,7,4,8,2,1,0,0,3,1,3,4,639.5454545454545
RECAR NIK REKAR S.P.,3,4,7,0,7,0,0,0,1,6,0,0,1,6,0,0,0,4,3,0,1081.7142857142858
AVTO ŠKAFAR d.o.o.,5,5,9,5,10,0,0,0,0,6,11,10,4,1,0,0,1,7,4,3,344.1333333333333
TASOS THEODOROS NIKOLAOS,1,8,4,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2649.0
FEERIA PRIME S.R.L,1,8,2,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,372.0
"Export Kazemi, Inh. Manochehr Kazemi",1,8,6,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1742.0
APLLE CARS S.R.L.,2,9,2,2,2,0,0,2,2,0,0,0,0,2,2,4,0,0,0,0,400.75
Mengelers Toyota Venlo B.V.,2,10,7,2,2,0,0,0,0,2,2,4,0,0,0,0,0,0,3,1,1220.75
LOVASSO CLASSICS SL,1,8,3,0,2,0,0,1,1,0,0,0,2,0,0,0,2,0,0,0,440.0
"Autohaus Boostedt Weidemann, Inh. Philip Weidemann",4,1,7,7,5,0,0,1,5,5,2,4,4,4,0,2,7,2,0,1,180.91666666666666
SASU NEXT CARS,6,5,10,1,7,10,8,4,11,10,1,9,16,0,0,0,0,3,10,12,1000.56
"Berber Automobile, Inh. Öner Berber",1,10,5,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,715.5
"RM Automobile (seit 1961), Inh. Rene Mertzianis",1,10,2,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,665.0
Autobedrijf Herman Jubbega,5,3,11,0,16,2,0,0,0,2,16,17,1,0,0,0,0,0,0,18,1686.6666666666667
CARMOVEMENT B.V.,2,5,9,0,0,3,1,0,0,0,4,4,0,0,0,0,0,0,0,4,1929.25
Multitrader Auto Kft,1,10,2,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,276.0
