stock_number,retail_country,rating_scale,rates,make,model,mileage_cluster,mileage,horsepower,built_year,esp,fueltype,geartype,body_type
WY17794,DE,5,5- Too high,Skoda,Octavia,0-10k,9726,220,2016,22590.0,Benzin,Gear type manual,Kombi
VA78131,IT,5,5- Too high,Alfa Romeo,Giulietta,0-10k,7486,120,2020,19999.0,Benzin,Gear type manual,Limousine
BD04143,AT,3,3- Appropriate,Skoda,Superb,80-90k,87342,150,2020,27490.0,Diesel,duplex,Kombi
NS37825,DE,3,3- Appropriate,Opel,Insignia,60-70k,62590,140,2016,13250.0,Benzin,Gear type manual,Kombi
JE44858,BE,5,5- Too high,Volkswagen,Golf VII,90-100k,96280,125,2017,15875.0,Benzin,Gear type manual,Limousine
EY64747,BE,5,5- Too high,Volkswagen,Beetle,50-60k,50410,150,2017,24350.0,Benzin,Gear type automatic,Limousine
RZ16601,IT,5,5- Too high,Kia,Sportage,90-100k,93576,135,2014,12799.0,Gas,Gear type manual,SUV
BS23025,BE,1,1- Very Good,MINI,MINI,90-100k,95522,95,2017,14500.0,Diesel,Gear type manual,Limousine
EZ31443,IT,3,3- Appropriate,Alfa Romeo,Alfa 159,80-90k,85625,135,2011,6999.0,Diesel,Gear type manual,Kombi
LU16788,BE,2,2- Good,Mercedes-Benz,CLA-Klasse,80-90k,84934,122,2014,18450.0,Benzin,Gear type automatic,Limousine
UD49374,DE,4,4- A little high,Hyundai,Santa Fe,40-50k,43901,200,2020,36817.0,Diesel,Gear type automatic,SUV
VM59519,IT,4,4- A little high,Toyota,Corolla,0-10k,6421,122,2019,22499.0,Hybrid,Gear type automatic,Limousine
RM72584,DE,4,4- A little high,Ford,Focus,60-70k,62126,150,2019,22590.0,Benzin,Gear type automatic,Kombi
ZA37284,IT,2,2- Good,Fiat,500L,100k+,117022,105,2014,9799.0,Diesel,Gear type manual,Van
ZY93303,IT,5,5- Too high,Volkswagen,Golf VI,90-100k,99175,122,2011,9399.0,Benzin,Gear type automatic,Limousine
JE08188,PL,3,3- Appropriate,Opel,Astra K,100k+,159730,160,2016,11527.0,Diesel,Gear type manual,Kombi
YL45077,AT,5,5- Too high,Ford,Grand Tourneo Connect,70-80k,75073,120,2015,16790.0,Diesel,Gear type manual,Van
GX05316,DE,2,2- Good,Audi,A3,100k+,100516,125,2015,15153.0,Benzin,Gear type automatic,Limousine
XJ20528,PL,5,5- Too high,Nissan,Qashqai,100k+,125984,115,2014,12394.0,Benzin,Gear type manual,SUV
SJ91328,DE,5,5- Too high,Mercedes-Benz,V-Klasse,80-90k,80101,190,2016,42990.0,Diesel,Gear type automatic,Bus
SW67504,DE,4,4- A little high,Seat,Ateca,30-40k,34369,150,2019,25590.0,Benzin,Gear type manual,SUV
WV88102,DE,1,1- Very Good,Jeep,Compass,100k+,109357,140,2018,21580.0,Diesel,Gear type automatic,SUV
PS20318,PL,5,5- Too high,Volkswagen,Golf Plus,100k+,166806,105,2013,8490.0,Diesel,Gear type manual,Limousine
RW40962,PL,2,2- Good,Hyundai,ix35,60-70k,60818,135,2015,12608.0,Benzin,Gear type manual,SUV
MB40731,AT,5,5- Too high,Dacia,Lodgy,0-10k,8639,116,2021,20790.0,Diesel,Gear type manual,Van
XS16758,DE,4,4- A little high,Mercedes-Benz,C-Klasse,80-90k,87654,185,2013,17990.0,Benzin,Gear type automatic,Coupe
AK53942,DE,2,2- Good,Mercedes-Benz,CLA-Klasse,60-70k,60101,122,2017,23348.0,Benzin,Gear type automatic,Kombi
JP42204,PL,2,2- Good,Hyundai,Tucson,100k+,128611,115,2017,15906.0,Diesel,Gear type manual,SUV
DY96464,DE,4,4- A little high,Mercedes-Benz,A-Klasse,50-60k,51115,122,2016,20021.0,Benzin,Gear type automatic,Limousine
ZN32483,BE,3,3- Appropriate,Seat,Ateca,50-60k,58411,115,2017,15150.0,Benzin,Gear type manual,SUV
LL65245,DE,4,4- A little high,Mercedes-Benz,GLB-Klasse,10-20k,12791,163,2022,41490.0,Benzin,Gear type automatic,SUV
UX40206,DE,4,4- A little high,Volkswagen,Tiguan,50-60k,58659,180,2018,28890.0,Benzin,Gear type automatic,SUV
WY49765,DE,5,5- Too high,Volkswagen,Tiguan Allspace,70-80k,70249,190,2018,34990.0,Diesel,Gear type automatic,SUV
LP91204,DE,5,5- Too high,Cupra,Ateca,20-30k,25797,300,2020,34440.0,Benzin,Gear type automatic,SUV
NL11186,DE,4,4- A little high,Volkswagen,Golf VII,40-50k,48548,150,2018,22990.0,Benzin,Gear type automatic,Limousine
CC59974,DE,3,3- Appropriate,Kia,Rio,50-60k,54076,85,2018,12990.0,Benzin,Gear type manual,Limousine
XH33168,IT,5,5- Too high,Jeep,Cherokee,50-60k,54657,200,2018,26999.0,Diesel,Gear type automatic,SUV
WR57437,IT,3,3- Appropriate,Fiat,Panda,0-10k,4945,69,2022,14999.0,Hybrid,Gear type manual,Limousine
DG25356,DE,5,5- Too high,Ford,Kuga,20-30k,29207,180,2018,26022.0,Diesel,Gear type automatic,SUV
CN67905,AT,4,4- A little high,Opel,Corsa,60-70k,65988,70,2013,7890.0,Benzin,Gear type manual,Limousine
HR29799,DE,4,4- A little high,BMW,1er,20-30k,27386,185,2017,21435.0,Benzin,Gear type automatic,Limousine
KB59390,IT,5,5- Too high,Jeep,Compass,60-70k,65660,140,2017,22899.0,Diesel,Gear type manual,SUV
LE63457,DE,4,4- A little high,Mercedes-Benz,E-Klasse,50-60k,58148,195,2019,37490.0,Diesel,Gear type automatic,Kombi
FX76624,DE,2,2- Good,Opel,Crossland X,10-20k,17841,82,2017,13630.0,Benzin,Gear type manual,SUV
PF79236,BE,2,2- Good,Mazda,CX-3,90-100k,99150,120,2017,17230.0,Benzin,Gear type manual,SUV
TM91352,DE,4,4- A little high,Mercedes-Benz,C-Klasse,100k+,108754,185,2015,23254.0,Benzin,Gear type automatic,Kombi
ER92242,DE,4,4- A little high,Mazda,3,30-40k,30317,122,2019,20990.0,Benzin,Gear type manual,Limousine
YD00768,PL,3,3- Appropriate,Citroen,C4 Grand Picasso,100k+,159043,120,2015,10933.0,Diesel,Gear type automatic,Van
DJ81855,DE,5,5- Too high,Audi,S7,80-90k,81277,349,2019,61750.0,Diesel,Gear type automatic,Kombi
NV22533,DE,4,4- A little high,Mercedes-Benz,V-Klasse,100k+,105660,190,2017,42082.0,Diesel,Gear type automatic,Bus
CJ26592,PL,4,4- A little high,Hyundai,i30,100k+,165922,100,2012,7397.0,Benzin,Gear type manual,Limousine
UE85210,DE,3,3- Appropriate,Ford,Focus,100k+,103739,125,2014,10690.0,Benzin,Gear type manual,Limousine
GU82367,DE,4,4- A little high,Volkswagen,Passat,90-100k,96417,150,2018,19490.0,Diesel,Gear type manual,Kombi
RP42316,AT,3,3- Appropriate,Citroen,C4 Grand Spacetourer,80-90k,80555,131,2020,22990.0,Diesel,Gear type automatic,Van
AG08104,DE,5,5- Too high,Mercedes-Benz,C-Klasse,70-80k,76245,170,2017,26624.0,Diesel,Gear type automatic,Kombi
RY41179,DE,1,1- Very Good,Opel,Insignia,80-90k,88742,165,2018,19690.0,Benzin,Gear type automatic,Limousine
NU28045,IT,4,4- A little high,Ford,Puma,10-20k,15567,125,2022,23999.0,Hybrid,Gear type manual,SUV
CC66113,DE,4,4- A little high,Volkswagen,Caddy,100k+,105595,102,2014,14790.0,Diesel,Gear type manual,Kombi
DL01928,DE,5,5- Too high,Volkswagen,Golf VII,60-70k,61511,245,2017,26590.0,Benzin,Gear type automatic,Limousine
MZ55125,IT,4,4- A little high,Ford,EcoSport,50-60k,54644,100,2017,16499.0,Diesel,Gear type manual,SUV
PK00270,DE,4,4- A little high,Audi,A6,40-50k,44107,150,2017,26990.0,Diesel,duplex,Kombi
VV26539,DE,5,5- Too high,Toyota,Yaris,10-20k,11795,75,2018,19290.0,Hybrid,Gear type automatic,Limousine
TC17825,DE,5,5- Too high,Audi,A3 Limousine,20-30k,28415,115,2017,19935.0,Benzin,Gear type manual,Limousine
NU13768,DE,4,4- A little high,Mercedes-Benz,A-Klasse,70-80k,71820,102,2017,19490.0,Benzin,Gear type automatic,Limousine
WS36331,DE,2,2- Good,Dacia,Sandero II,10-20k,19820,73,2018,9890.0,Benzin,Gear type manual,Limousine
UR45318,DE,4,4- A little high,Ford,Fiesta,50-60k,59165,140,2019,17250.0,Benzin,Gear type manual,Limousine
BZ69531,DE,4,4- A little high,Ford,Fiesta,80-90k,81470,95,2014,8499.0,Diesel,Gear type manual,Limousine
NP01924,DE,4,4- A little high,Opel,Corsa,20-30k,28414,75,2021,15190.0,Benzin,Gear type manual,Limousine
NS20207,PL,5,5- Too high,Jaguar,E-Pace,100k+,142045,240,2018,26516.0,Diesel,Gear type automatic,SUV
TC69211,DE,4,4- A little high,Audi,S3,40-50k,46395,300,2018,36990.0,Benzin,Gear type automatic,Kombi
XY03562,IT,4,4- A little high,Audi,A4,70-80k,75156,150,2018,19599.0,Diesel,Gear type manual,Kombi
WK86980,DE,5,5- Too high,Volkswagen,T-Roc,50-60k,59855,190,2018,27490.0,Benzin,Gear type automatic,SUV
HN49574,DE,4,4- A little high,BMW,1er,40-50k,44229,135,2014,13181.0,Benzin,Gear type manual,Limousine
PN37985,DE,3,3- Appropriate,Nissan,Qashqai,50-60k,59725,115,2017,16030.0,Benzin,Gear type manual,SUV
ZC87439,DE,2,2- Good,Land Rover,Evoque,100k+,104258,180,2018,26856.0,Diesel,Gear type automatic,SUV
PL15868,DE,4,4- A little high,Toyota,Corolla,60-70k,69211,179,2019,23750.0,Hybrid,Gear type automatic,Kombi
TA74060,DE,4,4- A little high,Mercedes-Benz,E-Klasse,100k+,115372,195,2018,28990.0,Diesel,Gear type automatic,Kombi
DZ72550,DE,4,4- A little high,Smart,fortwo,20-30k,25967,90,2019,16560.0,Benzin,Gear type automatic,Coupe
EV51210,IT,2,2- Good,BMW,3er,100k+,101599,150,2016,17999.0,Diesel,Gear type automatic,Kombi
EZ50771,BE,4,4- A little high,Mercedes-Benz,E-Klasse,100k+,101872,210,2017,36350.0,Hybrid,Gear type automatic,Limousine
UJ63154,IT,4,4- A little high,Toyota,C-HR,40-50k,41405,122,2019,22299.0,Hybrid,Gear type automatic,SUV
UJ20515,DE,2,2- Good,Volkswagen,Tiguan,80-90k,81303,160,2014,14990.0,Benzin,Gear type manual,SUV
GU57834,PL,4,4- A little high,Ford,Fiesta,80-90k,83709,70,2018,9984.0,Benzin,Gear type manual,Limousine
VE01982,PL,5,5- Too high,Hyundai,Tucson,50-60k,58844,230,2021,30086.0,Hybrid,Gear type automatic,SUV
KL72006,PL,4,4- A little high,Toyota,Auris,100k+,135497,100,2016,14774.0,Hybrid,Gear type automatic,Limousine
BK76762,DE,5,5- Too high,Opel,Cascada,60-70k,63635,120,2015,16332.0,Benzin,Gear type manual,Cabrio
UV52907,IT,5,5- Too high,Mercedes-Benz,A-Klasse,100k+,120417,115,2018,24999.0,Diesel,Gear type automatic,Limousine
UM16359,DE,4,4- A little high,Skoda,Octavia,100k+,118126,150,2017,17900.0,Diesel,Gear type automatic,Kombi
EU24116,DE,4,4- A little high,Renault,Koleos,50-60k,50108,177,2018,23990.0,Diesel,Gear type automatic,SUV
KV96735,PL,4,4- A little high,Volvo,V 60,90-100k,92275,190,2020,28450.0,Diesel,Gear type automatic,Kombi
SK19706,PL,5,5- Too high,Kia,Sportage,100k+,171707,115,2014,11288.0,Diesel,Gear type manual,SUV
VG23531,IT,4,4- A little high,Volkswagen,Tiguan,40-50k,46710,131,2020,26299.0,Benzin,Gear type manual,SUV
DJ75303,DE,5,5- Too high,Mercedes-Benz,CLA-Klasse,50-60k,55968,122,2018,26890.0,Benzin,Gear type automatic,Limousine
KW11204,IT,5,5- Too high,Toyota,AYGO,10-20k,17373,72,2019,12299.0,Benzin,Gear type manual,Limousine
BP43410,DE,4,4- A little high,BMW,3er,90-100k,93269,190,2016,20760.0,Diesel,Gear type automatic,Limousine
FM13550,PL,4,4- A little high,Ford,Fiesta,60-70k,63863,60,2017,8821.0,Benzin,Gear type manual,Limousine
VU78458,IT,5,5- Too high,Audi,Q5,100k+,109256,190,2017,31999.0,Diesel,Gear type automatic,SUV
CP41125,DE,3,3- Appropriate,Skoda,Karoq,60-70k,66580,116,2019,18810.0,Benzin,Gear type manual,SUV
ZM16177,DE,5,5- Too high,BMW,1er,90-100k,93994,135,2017,16070.0,Benzin,Gear type manual,Limousine
LG06500,DE,4,4- A little high,Mercedes-Benz,C-Klasse,20-30k,21857,320,2020,39904.0,Hybrid,Gear type automatic,Kombi
NS51670,DE,1,1- Very Good,Mercedes-Benz,A-Klasse,60-70k,61816,102,2016,16890.0,Benzin,Gear type manual,Limousine
AZ27507,IT,3,3- Appropriate,Ford,Puma,30-40k,32470,125,2020,21099.0,Hybrid,Gear type manual,SUV
KC87163,AT,4,4- A little high,Audi,A4,100k+,114815,120,2013,12990.0,Benzin,Gear type manual,Limousine
MP28581,PL,4,4- A little high,Ford,Focus,100k+,124814,150,2019,18185.0,Diesel,Gear type manual,Kombi
JR67298,IT,3,3- Appropriate,Peugeot,2008,60-70k,62918,101,2020,20699.0,Benzin,Gear type manual,SUV
XZ31802,PL,4,4- A little high,Toyota,Auris,100k+,136359,100,2014,11880.0,Hybrid,Gear type automatic,Limousine
RG09656,IT,2,2- Good,Jeep,Renegade,20-30k,26233,120,2019,20499.0,Benzin,Gear type manual,SUV
FM87682,PL,2,2- Good,Audi,A3,100k+,156949,150,2016,14962.0,Diesel,Gear type manual,Limousine
SD69509,DE,2,2- Good,BMW,3er,60-70k,65146,185,2017,23490.0,Benzin,Gear type automatic,Limousine
JL75464,IT,4,4- A little high,BMW,X3,100k+,140124,185,2012,14099.0,Diesel,Gear type automatic,SUV
BB68401,BE,4,4- A little high,Citroen,C-Elysée,30-40k,32415,82,2017,8799.0,Benzin,Gear type manual,Limousine
EW91231,BE,4,4- A little high,BMW,3er,100k+,116603,143,2015,15699.0,Diesel,Gear type automatic,Kombi
FD90782,IT,3,3- Appropriate,Peugeot,3008,100k+,142749,130,2019,19699.0,Diesel,Gear type manual,SUV
ZR71695,IT,3,3- Appropriate,Fiat,500,30-40k,38112,95,2018,13799.0,Diesel,Gear type manual,Limousine
KD06578,DE,5,5- Too high,Volkswagen,Golf VII,30-40k,34455,150,2019,22990.0,Benzin,Gear type automatic,Limousine
AF12602,AT,3,3- Appropriate,BMW,X1,90-100k,95910,190,2015,22590.0,Diesel,Gear type automatic,SUV
EF57951,PL,5,5- Too high,Opel,Mokka X,80-90k,88237,140,2017,15390.0,Benzin,Gear type manual,SUV
GZ95485,IT,5,5- Too high,BMW,1er,30-40k,31826,225,2018,28499.0,Benzin,Gear type automatic,Limousine
CY49549,IT,5,5- Too high,MINI,Paceman,30-40k,34249,143,2013,14299.0,Diesel,Gear type automatic,SUV
ME80240,DE,3,3- Appropriate,Nissan,Micra,40-50k,48052,90,2017,13456.0,Benzin,Gear type manual,Limousine
CH88045,DE,1,1- Very Good,Kia,Picanto,50-60k,55749,70,2014,8924.0,Benzin,Gear type manual,Limousine
TM70406,DE,4,4- A little high,Peugeot,208,70-80k,74628,82,2015,9150.0,Benzin,Gear type manual,Limousine
GU20353,IT,3,3- Appropriate,Fiat,500X,80-90k,85217,120,2016,14399.0,Diesel,Gear type manual,SUV
VH69753,IT,2,2- Good,Nissan,X-Trail,100k+,109553,130,2014,15999.0,Diesel,Gear type automatic,SUV
BL82898,DE,4,4- A little high,Ssangyong,Rexton,80-90k,83817,178,2016,17990.0,Diesel,Gear type automatic,SUV
XZ12325,AT,5,5- Too high,Volkswagen,T-Roc,90-100k,99347,150,2018,23190.0,Diesel,duplex,SUV
CD81839,DE,1,1- Very Good,Dacia,Dokker,20-30k,27511,102,2019,14782.0,Benzin,Gear type manual,Kombi
TK77899,DE,2,2- Good,Citroen,C4 Picasso,50-60k,58539,120,2017,18690.0,Diesel,Gear type automatic,Van
AJ65110,IT,3,3- Appropriate,Citroen,C5 Aircross,40-50k,41131,131,2020,24999.0,Diesel,Gear type automatic,SUV
FP66789,DE,5,5- Too high,Audi,Q5,60-70k,63600,252,2018,38790.0,Benzin,Gear type automatic,SUV
FP40473,DE,5,5- Too high,Ford,EcoSport,20-30k,23419,125,2017,15390.0,Benzin,Gear type manual,SUV
HC06006,DE,1,1- Very Good,Mercedes-Benz,GLC-Klasse,30-40k,33293,210,2019,42225.0,Benzin,Gear type automatic,Coupe
MA16182,DE,4,4- A little high,Mercedes-Benz,C-Klasse,60-70k,69537,210,2017,30750.0,Benzin,Gear type automatic,Limousine
DP23836,DE,4,4- A little high,Volkswagen,Golf VIII,20-30k,20999,150,2020,27618.0,Hybrid,Gear type automatic,Limousine
RA48884,DE,4,4- A little high,Ford,Kuga,100k+,102161,150,2016,15990.0,Diesel,Semi-automatic,SUV
DB29280,DE,5,5- Too high,Volkswagen,Touran,100k+,113026,150,2017,19490.0,Diesel,Gear type manual,Van
GH80046,DE,2,2- Good,BMW,2er,90-100k,97498,150,2018,21190.0,Diesel,Gear type automatic,Van
RD82796,AT,5,5- Too high,Kia,Sportage,100k+,114818,135,2011,12990.0,Diesel,Gear type automatic,SUV
JH89121,DE,4,4- A little high,Seat,Leon,10-20k,19370,131,2020,21617.0,Benzin,Gear type manual,Limousine
YA80026,DE,2,2- Good,Volkswagen,up!,10-20k,16135,60,2017,11850.0,Benzin,Gear type manual,Limousine
XS37160,IT,4,4- A little high,Volkswagen,Taigo,10-20k,17061,110,2022,27499.0,Benzin,duplex,SUV
NC27959,IT,4,4- A little high,Land Rover,Freelander,100k+,129140,190,2014,12899.0,Diesel,Gear type automatic,SUV
BX81121,DE,4,4- A little high,Ford,Kuga,30-40k,32570,150,2019,22690.0,Benzin,Gear type automatic,SUV
ZR92823,DE,4,4- A little high,Audi,A5 Sportback,50-60k,55642,218,2018,31890.0,Diesel,Gear type automatic,Kombi
WZ67403,AT,5,5- Too high,Dacia,Sandero II,40-50k,49935,73,2018,8890.0,Benzin,Gear type manual,Limousine
FC97321,IT,4,4- A little high,Volkswagen,Arteon,90-100k,92556,240,2018,27999.0,Diesel,Gear type automatic,Limousine
RF79744,PL,3,3- Appropriate,Audi,A6,100k+,168179,252,2017,22129.0,Benzin,duplex,Kombi
SM61523,DE,4,4- A little high,Audi,A4,60-70k,62798,190,2018,31787.0,Benzin,Gear type automatic,Kombi
LE93955,IT,5,5- Too high,Mercedes-Benz,C-Klasse,80-90k,82822,170,2015,27599.0,Diesel,Gear type automatic,Coupe
PH34107,BE,2,2- Good,Volkswagen,Polo,20-30k,27627,95,2020,19550.0,Benzin,Gear type automatic,Limousine
NW86486,BE,4,4- A little high,Mercedes-Benz,B-Klasse,10-20k,16977,116,2019,27600.0,Diesel,Gear type automatic,Van
DP77314,PL,4,4- A little high,BMW,5er,80-90k,84158,190,2018,25804.0,Diesel,Gear type automatic,Kombi
CU35255,DE,4,4- A little high,Seat,Ibiza,20-30k,27650,95,2019,15430.0,Benzin,Gear type manual,Limousine
ZC95481,DE,5,5- Too high,Mercedes-Benz,B-Klasse,60-70k,67176,122,2014,16549.0,Benzin,Gear type automatic,Van
MD40824,IT,4,4- A little high,Opel,Corsa,100k+,106739,70,2014,6999.0,Benzin,Gear type manual,Limousine
DZ02649,DE,5,5- Too high,Volkswagen,T-Roc,10-20k,16053,150,2019,26603.0,Benzin,Gear type manual,SUV
VF18580,AT,4,4- A little high,BMW,5er,100k+,117084,190,2018,28490.0,Diesel,Gear type automatic,Kombi
HP50411,BE,4,4- A little high,BMW,X1,50-60k,50869,136,2020,27950.0,Benzin,Gear type automatic,SUV
CJ81380,PL,5,5- Too high,Opel,Insignia,100k+,150721,135,2016,10013.0,Diesel,Gear type manual,Limousine
CJ47543,DE,4,4- A little high,Skoda,Fabia,60-70k,62204,95,2018,13908.0,Benzin,Gear type manual,Kombi
NG04918,IT,4,4- A little high,Suzuki,SX4 S-Cross,50-60k,58055,110,2019,16499.0,Gas,Gear type manual,SUV
KD06578,DE,5,5- Too high,Volkswagen,Golf VII,30-40k,34455,150,2019,22990.0,Benzin,Gear type automatic,Limousine
BA70827,PL,5,5- Too high,Volvo,XC 60,100k+,131621,180,2014,15103.0,Diesel,Gear type manual,SUV
WH35136,IT,3,3- Appropriate,Volkswagen,Tiguan,80-90k,86962,150,2018,23999.0,Diesel,Gear type automatic,SUV
KR81726,AT,4,4- A little high,Audi,Q3,100k+,118404,150,2015,20490.0,Diesel,duplex,SUV
FK69023,BE,4,4- A little high,Opel,Zafira,100k+,115644,120,2014,8375.0,Benzin,Gear type manual,Van
FH05423,PL,4,4- A little high,Ford,C-Max,100k+,110606,115,2014,8326.0,Diesel,Gear type manual,Van
GT29256,BE,4,4- A little high,BMW,4er,80-90k,81975,185,2014,21850.0,Benzin,Gear type automatic,Coupe
MU37876,DE,4,4- A little high,Opel,Astra K,60-70k,64631,125,2019,15190.0,Benzin,Gear type manual,Kombi
PL21044,PL,4,4- A little high,Opel,Mokka,100k+,116652,140,2014,11576.0,Benzin,Gear type manual,SUV
EH51201,IT,4,4- A little high,Fiat,500X,10-20k,18141,131,2021,26399.0,Diesel,Gear type manual,SUV
MH35908,DE,3,3- Appropriate,Volkswagen,up!,40-50k,46016,60,2014,10190.0,Benzin,Gear type automatic,Limousine
GY37777,PL,2,2- Good,Volvo,XC 60,100k+,119702,150,2017,19363.0,Diesel,Gear type automatic,SUV
XP31117,DE,4,4- A little high,Skoda,Octavia,90-100k,96389,140,2015,15290.0,Benzin,Gear type manual,Kombi
HU28767,DE,4,4- A little high,Mercedes-Benz,CLA-Klasse,60-70k,60622,155,2017,25990.0,Benzin,Gear type automatic,Kombi
NZ64331,IT,3,3- Appropriate,Audi,A1,40-50k,47104,115,2018,17999.0,Diesel,Gear type manual,Limousine
PY20862,IT,3,3- Appropriate,Skoda,Octavia,100k+,126129,115,2019,11999.0,Diesel,Gear type manual,Kombi
FG33484,DE,4,4- A little high,Volkswagen,Passat,80-90k,84835,150,2015,18190.0,Benzin,Gear type manual,Kombi
DM00168,DE,1,1- Very Good,Smart,fortwo,30-40k,37981,70,2017,10390.0,Benzin,Gear type manual,Coupe
KC74223,DE,5,5- Too high,Opel,Crossland X,80-90k,81444,110,2017,16254.0,Benzin,Gear type automatic,SUV
SC48665,DE,4,4- A little high,Nissan,Qashqai,40-50k,48225,115,2016,17997.0,Benzin,Gear type automatic,SUV
UD49374,DE,5,5- Too high,Hyundai,Santa Fe,40-50k,43901,200,2020,36817.0,Diesel,Gear type automatic,SUV
HM09122,DE,2,2- Good,Mercedes-Benz,A-Klasse,30-40k,35991,136,2018,28850.0,Benzin,Gear type automatic,Limousine
FX62472,IT,4,4- A little high,Suzuki,Baleno,100k+,104516,90,2017,8999.0,Benzin,Gear type manual,Limousine
WE56332,DE,3,3- Appropriate,Volkswagen,Passat,100k+,103057,150,2016,16618.0,Diesel,Gear type automatic,Kombi
TS73148,DE,5,5- Too high,Volkswagen,T6 Multivan,100k+,110080,205,2016,34090.0,Diesel,Gear type manual,Bus
BP57206,IT,4,4- A little high,Audi,A3,70-80k,74013,105,2013,14899.0,Diesel,duplex,Limousine
JE08188,PL,4,4- A little high,Opel,Astra K,100k+,159730,160,2016,11527.0,Diesel,Gear type manual,Kombi
RJ58018,DE,4,4- A little high,Mercedes-Benz,CLA-Klasse,50-60k,55239,135,2017,26100.0,Diesel,Gear type automatic,Kombi
JX15231,DE,3,3- Appropriate,Mercedes-Benz,GLA-Klasse,70-80k,76894,122,2017,23808.0,Benzin,Gear type automatic,SUV
CB27197,DE,4,4- A little high,Volkswagen,Golf VII,20-30k,28823,125,2018,18560.0,Benzin,Gear type manual,Limousine
EW34736,DE,4,4- A little high,Volkswagen,T6 Multivan,80-90k,85565,205,2015,43950.0,Diesel,Gear type automatic,Bus
HU33447,PL,5,5- Too high,Renault,Koleos,100k+,127797,177,2017,19973.0,Diesel,Gear type automatic,SUV
LN10416,IT,4,4- A little high,Ford,Fiesta,10-20k,11150,125,2021,19599.0,Hybrid,Gear type manual,Limousine
SH75339,DE,1,1- Very Good,Fiat,Freemont,90-100k,90678,170,2015,15190.0,Diesel,Gear type automatic,Van
DB97018,IT,2,2- Good,Opel,Meriva,100k+,101376,120,2012,7899.0,Gas,Gear type manual,Van
CF96276,BE,3,3- Appropriate,Ford,Focus,60-70k,69480,125,2020,20699.0,Benzin,Gear type automatic,Kombi
XK63390,DE,1,1- Very Good,Skoda,Octavia,50-60k,54391,150,2017,18490.0,Benzin,Gear type manual,Kombi
UJ91663,DE,5,5- Too high,Audi,A5 Sportback,80-90k,82038,177,2016,20490.0,Benzin,Gear type manual,Kombi
MN19592,DE,4,4- A little high,Skoda,Citigo,80-90k,84021,60,2014,6590.0,Benzin,Gear type manual,Limousine
DD23077,DE,4,4- A little high,Volkswagen,Polo,40-50k,42577,75,2018,14990.0,Benzin,Gear type manual,Limousine
PA84144,DE,4,4- A little high,Volkswagen,Tiguan Allspace,60-70k,65879,240,2019,35815.0,Diesel,Gear type automatic,SUV
CV85042,DE,1,1- Very Good,Ford,Ka,10-20k,19275,70,2015,8440.0,Benzin,Gear type manual,Limousine
YH31532,IT,4,4- A little high,Honda,Jazz,100k+,114015,90,2012,7199.0,Benzin,Gear type manual,Van
BT08942,IT,4,4- A little high,Peugeot,308,40-50k,47694,131,2021,26999.0,Diesel,Gear type manual,Limousine
MU90495,IT,4,4- A little high,Renault,Clio,100k+,148109,75,2014,6899.0,Diesel,Gear type manual,Kombi
NW73137,IT,3,3- Appropriate,Mercedes-Benz,GLA-Klasse,80-90k,84317,110,2016,19199.0,Diesel,Gear type manual,SUV
AA40161,DE,4,4- A little high,Fiat,500,50-60k,53740,70,2018,10990.0,Benzin,Gear type manual,Limousine
AZ69532,DE,4,4- A little high,Volkswagen,T6 Multivan,90-100k,91391,205,2016,39490.0,Diesel,Gear type manual,Bus
SN95240,DE,5,5- Too high,Volkswagen,Polo,20-30k,20633,90,2017,15677.0,Benzin,Gear type automatic,Limousine
VG74960,PL,3,3- Appropriate,Opel,Mokka,100k+,142479,135,2016,11537.0,Diesel,Gear type automatic,SUV
HK17726,DE,4,4- A little high,Ford,Kuga,40-50k,44482,182,2017,22695.0,Benzin,Gear type automatic,SUV
TK42189,DE,2,2- Good,Audi,A5 Sportback,20-30k,23619,145,2015,18910.0,Benzin,Gear type manual,Kombi
LE63457,DE,4,4- A little high,Mercedes-Benz,E-Klasse,50-60k,58148,195,2019,37490.0,Diesel,Gear type automatic,Kombi
NH34254,DE,5,5- Too high,Citroen,C1,60-70k,64552,70,2017,8390.0,Benzin,Gear type manual,Limousine
EN95854,DE,3,3- Appropriate,Skoda,Yeti,70-80k,70096,150,2016,19750.0,Diesel,duplex,SUV
RT05999,PL,4,4- A little high,Peugeot,3008,100k+,129993,130,2018,19358.0,Diesel,Gear type manual,SUV
AB57818,IT,4,4- A little high,Mercedes-Benz,A-Klasse,100k+,142959,110,2018,17399.0,Diesel,Gear type automatic,Limousine
PA19189,PL,4,4- A little high,Hyundai,ix35,100k+,112064,135,2014,12098.0,Benzin,Gear type manual,SUV
KV96735,PL,4,4- A little high,Volvo,V 60,90-100k,92275,190,2020,28450.0,Diesel,Gear type automatic,Kombi
VN12805,IT,3,3- Appropriate,Seat,Ateca,70-80k,71294,150,2017,18699.0,Diesel,Gear type manual,SUV
UR21766,DE,2,2- Good,Audi,Q2,40-50k,44848,150,2017,25533.0,Diesel,Gear type automatic,SUV
XE49693,DE,5,5- Too high,Audi,Q3,90-100k,99947,170,2014,17890.0,Benzin,Gear type automatic,SUV
LL02511,PL,4,4- A little high,Volvo,V 40,100k+,147119,122,2017,13742.0,Benzin,Gear type manual,Limousine
