dates,cars_sold_de,cars_sold_it,cars_sold_fr,cars_sold_es,cars_sold_pl,cars_sold_se,cars_sold_at,cars_sold_be,cars_sold_nl
2022-06-12,27,23,14,5,14,4,4,2,6
2022-06-13,76,37,47,29,21,9,8,12,6
2022-06-14,66,33,42,35,18,6,6,17,5
2022-06-15,64,36,38,34,19,6,10,18,3
2022-06-16,48,44,39,29,7,6,1,15,10
2022-06-17,62,35,43,28,15,7,6,10,5
2022-06-18,39,16,35,17,7,3,2,6,0
2022-06-19,35,15,13,11,8,3,5,4,5
2022-06-20,77,43,44,34,14,4,9,18,6
2022-06-21,70,28,38,36,23,7,4,10,7
2022-06-22,64,43,35,38,17,10,9,11,4
2022-06-23,63,45,41,32,16,7,7,14,5
2022-06-24,57,37,31,23,20,0,12,11,5
2022-06-25,47,30,21,16,12,2,4,5,4
2022-06-26,32,15,8,16,7,2,0,7,3
2022-06-27,75,34,34,43,20,8,7,14,7
2022-06-28,72,39,34,15,11,11,5,10,6
2022-06-29,85,25,28,31,12,10,14,16,8
2022-06-30,59,28,39,33,14,8,6,13,4
2022-07-01,66,32,21,35,7,10,10,15,2
2022-07-02,47,33,22,14,6,2,10,9,3
2022-07-03,36,21,17,14,5,4,2,3,4
2022-07-04,89,44,34,33,16,5,9,17,2
2022-07-05,68,37,46,33,28,10,8,12,5
2022-07-06,59,45,37,41,16,7,4,12,8
2022-07-07,73,51,35,37,15,6,16,17,8
2022-07-08,65,42,26,24,14,16,10,11,6
2022-07-09,51,26,21,22,10,2,0,8,1
2022-07-10,39,11,12,18,9,5,1,6,1
2022-07-11,80,39,32,26,18,7,3,15,4
2022-07-12,52,39,30,35,21,5,10,6,1
2022-07-13,84,46,23,42,21,6,17,14,8
2022-07-14,60,36,8,28,17,9,8,7,2
2022-07-15,51,26,31,31,19,6,7,13,5
2022-07-16,50,25,19,15,11,1,3,3,2
2022-07-17,34,15,8,8,4,2,1,5,1
2022-07-18,66,41,36,29,21,5,11,13,2
2022-07-19,61,43,32,31,24,9,11,12,5
2022-07-20,54,32,35,36,13,7,9,9,3
2022-07-21,65,40,30,31,23,5,9,4,6
2022-07-22,57,33,36,35,18,8,10,14,7
2022-07-23,44,29,22,21,7,4,4,4,2
2022-07-24,33,13,12,13,2,2,1,1,2
2022-07-25,79,35,29,27,24,6,6,19,8
2022-07-26,71,43,33,31,14,3,5,13,3
2022-07-27,74,40,30,39,19,9,5,13,7
2022-07-28,69,29,32,24,20,6,4,13,6
2022-07-29,76,25,23,35,11,8,6,12,6
2022-07-30,45,20,22,14,9,4,3,6,2
2022-07-31,40,12,6,12,7,1,5,6,1
2022-08-01,76,29,29,29,20,9,6,8,5
2022-08-02,80,29,33,36,17,8,10,17,5
2022-08-03,81,22,45,26,28,5,5,9,7
2022-08-04,86,31,27,27,14,5,7,9,4
2022-08-05,86,29,37,30,16,6,3,9,5
2022-08-06,43,21,22,10,9,5,3,6,10
2022-08-07,40,15,6,10,11,8,2,6,3
2022-08-08,89,22,25,22,17,12,4,13,4
2022-08-09,82,22,42,39,19,7,9,14,4
2022-08-10,77,20,37,23,18,5,11,11,7
2022-08-11,71,26,26,23,18,6,3,14,3
2022-08-12,73,30,30,27,15,6,1,11,9
2022-08-13,46,12,15,16,11,3,6,7,2
2022-08-14,28,10,7,8,7,4,2,4,3
2022-08-15,98,10,13,14,11,7,1,0,0
2022-08-16,84,15,25,26,17,11,8,15,3
2022-08-17,78,16,26,26,29,9,4,11,1
2022-08-18,76,13,31,18,18,9,5,12,4
2022-08-19,67,23,35,20,12,9,12,18,7
2022-08-20,46,11,23,13,5,2,4,13,3
2022-08-21,33,9,7,8,5,4,1,0,0
2022-08-22,84,28,34,19,14,19,8,12,4
2022-08-23,66,26,44,32,15,7,8,5,4
2022-08-24,85,21,37,34,22,10,5,11,4
2022-08-25,69,31,38,21,12,14,5,14,2
2022-08-26,70,30,39,26,15,13,3,16,4
2022-08-27,47,21,22,13,9,4,6,5,3
2022-08-28,35,15,11,14,3,2,2,5,3
2022-08-29,69,39,40,26,17,10,8,12,8
2022-08-30,78,32,47,30,20,13,5,14,4
2022-08-31,71,44,35,23,10,14,8,11,3
2022-09-01,66,29,39,27,17,5,4,4,5
2022-09-02,77,37,48,25,12,14,8,10,4
2022-09-03,48,18,40,11,4,3,3,7,3
2022-09-04,39,10,12,14,7,6,4,3,0
2022-09-05,85,47,49,32,17,10,5,19,3
2022-09-06,75,38,29,33,14,5,10,22,5
2022-09-07,81,31,39,29,19,9,8,10,8
2022-09-08,67,39,24,30,19,11,4,9,7
2022-09-09,66,38,31,33,18,7,10,12,3
2022-09-10,51,18,31,11,5,3,2,9,2
2022-09-11,31,10,14,9,7,2,5,2,4
2022-09-12,91,43,33,34,13,9,8,14,7
2022-09-13,78,31,33,44,18,7,7,10,4
2022-09-14,86,35,42,50,23,10,5,8,7
2022-09-15,62,40,28,27,22,5,7,17,5
2022-09-16,75,28,38,34,15,12,9,12,7
2022-09-17,47,17,29,10,13,4,2,6,1
2022-09-18,34,11,14,8,3,5,1,5,4
2022-09-19,95,48,39,28,21,10,12,12,7
2022-09-20,86,23,46,26,21,10,7,16,7
2022-09-21,66,33,35,34,21,9,3,13,6
2022-09-22,85,36,42,42,14,4,6,12,3
2022-09-23,66,34,40,31,12,7,4,14,1
2022-09-24,69,32,24,19,17,7,4,3,0
2022-09-25,36,14,25,15,6,3,1,3,0
2022-09-26,97,46,50,31,8,11,7,8,4
2022-09-27,76,53,42,44,11,3,15,17,6
2022-09-28,88,40,44,38,9,8,9,12,11
2022-09-29,65,34,44,31,15,6,7,6,2
2022-09-30,100,40,38,37,15,3,3,13,5
2022-10-01,52,21,36,19,11,2,4,7,5
2022-10-02,30,9,15,8,3,5,3,5,2
2022-10-03,36,49,48,35,20,8,6,7,4
2022-10-04,58,28,40,41,14,8,6,15,3
2022-10-05,63,36,41,28,18,8,8,9,5
2022-10-06,91,41,33,32,17,5,10,10,5
2022-10-07,64,38,42,45,13,18,7,10,3
2022-10-08,43,15,34,16,8,3,2,3,5
2022-10-09,29,11,14,13,5,7,1,2,1
2022-10-10,70,45,41,29,16,6,5,10,6
2022-10-11,81,35,53,31,21,7,11,9,3
2022-10-12,62,46,47,26,21,10,6,8,5
2022-10-13,72,36,41,26,11,12,6,9,1
2022-10-14,69,25,33,40,17,9,5,6,1
2022-10-15,47,24,23,20,12,5,4,5,3
2022-10-16,32,10,22,14,2,9,1,4,1
2022-10-17,75,47,52,27,18,8,11,7,7
2022-10-18,78,43,47,26,16,10,8,8,9
2022-10-19,68,33,46,34,14,14,11,9,2
2022-10-20,69,36,29,31,12,6,3,9,6
2022-10-21,81,17,37,39,9,9,5,4,6
2022-10-22,53,17,31,24,9,2,5,2,2
2022-10-23,33,8,6,11,6,4,4,3,0
2022-10-24,71,31,37,36,8,6,8,6,3
2022-10-25,62,31,37,31,16,7,2,12,2
2022-10-26,63,34,35,30,22,9,4,7,4
2022-10-27,59,25,39,36,11,11,7,8,8
2022-10-28,76,21,31,19,10,5,5,13,2
2022-10-29,53,12,32,18,13,6,2,6,3
2022-10-30,29,8,10,9,4,2,1,3,1
2022-10-31,66,38,31,26,25,9,10,12,8
2022-11-01,66,8,31,14,1,10,2,6,5
2022-11-02,67,40,33,27,18,15,8,12,3
2022-11-03,69,29,29,41,10,6,11,13,2
2022-11-04,71,29,33,36,12,6,7,9,2
2022-11-05,55,21,24,14,17,5,1,6,1
2022-11-06,30,11,15,9,2,4,2,10,3
2022-11-07,82,25,37,34,12,14,11,10,6
2022-11-08,88,32,41,38,10,9,5,9,5
2022-11-09,73,34,30,32,10,13,7,14,4
2022-11-10,60,30,45,34,15,4,12,11,2
2022-11-11,64,20,21,34,4,12,3,5,3
2022-11-12,49,15,37,14,12,5,3,7,3
2022-11-13,24,6,18,12,1,7,3,4,0
2022-11-14,62,34,40,35,18,9,8,12,5
2022-11-15,57,42,25,31,18,6,5,14,5
2022-11-16,63,33,48,43,15,12,5,12,2
2022-11-17,55,28,29,29,10,9,8,8,1
2022-11-18,69,27,29,25,9,6,5,12,3
2022-11-19,56,20,20,21,15,4,2,12,1
2022-11-20,28,11,20,5,1,1,3,6,1
2022-11-21,76,33,41,34,11,7,6,15,6
2022-11-22,70,20,43,29,14,10,4,19,4
2022-11-23,65,29,36,42,15,5,6,10,7
2022-11-24,58,35,43,42,11,11,6,13,3
2022-11-25,65,19,40,38,15,6,10,8,2
2022-11-26,32,31,26,16,9,2,7,6,2
2022-11-27,27,6,18,13,1,1,1,0,2
2022-11-28,76,38,42,29,5,7,3,12,4
2022-11-29,79,30,40,25,12,3,8,10,1
2022-11-30,80,29,32,31,11,8,16,16,0
2022-12-01,57,29,37,37,10,6,4,8,0
2022-12-02,57,21,37,25,6,8,8,12,5
2022-12-03,45,14,28,12,17,5,4,5,2
2022-12-04,33,8,9,11,0,4,4,3,4
2022-12-05,76,25,33,40,13,3,4,20,1
2022-12-06,77,25,33,19,8,8,2,10,2
2022-12-07,53,26,31,43,12,5,8,16,3
2022-12-08,66,11,36,25,8,8,5,13,6
2022-12-09,64,22,37,34,12,4,5,12,2
2022-12-10,38,13,26,17,13,4,2,4,3
2022-12-11,39,5,16,17,4,4,2,3,1
2022-12-12,78,39,35,36,8,15,8,15,2
2022-12-13,74,31,25,32,8,5,6,8,1
2022-12-14,60,38,28,39,7,5,5,9,1
2022-12-15,63,21,26,26,11,7,7,13,2
2022-12-16,68,28,29,31,7,6,6,4,8
2022-12-17,49,17,20,17,10,6,1,1,0
2022-12-18,32,7,10,9,0,4,2,2,0
2022-12-19,63,33,30,36,6,4,6,4,4
2022-12-20,61,24,27,36,4,4,5,6,4
2022-12-21,61,24,29,29,6,8,4,10,4
2022-12-22,49,21,29,27,10,4,10,6,1
2022-12-23,53,20,39,22,9,4,6,7,4
2022-12-24,26,8,20,3,2,0,0,4,2
2022-12-25,25,2,7,5,1,0,0,3,1
2022-12-26,25,7,35,19,1,4,1,10,4
2022-12-27,64,26,43,22,18,9,3,11,2
2022-12-28,74,39,52,41,19,9,6,13,4
2022-12-29,80,25,38,35,18,4,6,13,4
2022-12-30,85,16,39,28,13,8,6,11,1
2022-12-31,31,8,22,6,5,0,4,6,0
2023-01-01,34,10,16,4,3,0,3,6,1
2023-01-02,90,30,39,38,16,9,8,12,6
2023-01-03,87,36,47,35,17,8,12,16,7
2023-01-04,88,29,38,49,12,9,11,17,5
2023-01-05,70,40,41,33,12,10,6,15,8
2023-01-06,86,19,36,7,6,4,5,12,5
2023-01-07,60,14,28,15,15,3,6,8,1
2023-01-08,38,10,11,10,3,4,5,5,2
2023-01-09,85,30,43,46,26,13,8,9,6
2023-01-10,90,31,39,41,20,10,7,10,5
2023-01-11,76,43,34,49,20,9,6,14,2
2023-01-12,60,28,38,36,16,12,8,9,5
2023-01-13,67,43,33,37,16,10,8,13,7
2023-01-14,50,32,37,27,15,9,3,5,3
2023-01-15,35,7,14,12,3,2,2,4,0
2023-01-16,91,41,50,52,16,8,11,15,5
2023-01-17,81,43,34,51,15,9,6,14,7
2023-01-18,84,38,35,37,12,11,12,10,5
2023-01-19,71,46,41,36,11,12,10,8,2
2023-01-20,75,41,39,39,18,13,4,4,4
2023-01-21,71,32,31,33,15,6,6,3,3
2023-01-22,29,9,13,16,4,4,2,2,0
2023-01-23,90,37,42,47,16,11,12,17,2
2023-01-24,99,38,45,48,13,10,7,8,1
2023-01-25,68,39,47,47,22,10,6,11,4
2023-01-26,65,34,39,45,14,5,7,12,4
2023-01-27,60,34,37,41,23,9,6,16,2
2023-01-28,50,25,39,31,16,5,1,13,4
2023-01-29,43,10,17,9,10,2,3,4,2
2023-01-30,83,38,47,42,12,7,12,12,5
2023-01-31,74,44,39,63,14,17,10,16,4
2023-02-01,75,36,40,41,18,11,17,15,5
2023-02-02,85,49,38,33,14,5,9,11,7
2023-02-03,58,25,42,47,17,9,5,14,2
2023-02-04,51,29,29,29,10,2,8,6,3
2023-02-05,37,10,13,17,2,6,0,3,3
2023-02-06,60,51,46,41,15,12,9,19,6
2023-02-07,73,37,46,34,13,7,8,14,5
2023-02-08,68,37,29,39,19,13,6,9,5
2023-02-09,72,27,36,56,20,4,5,12,4
2023-02-10,68,38,35,48,24,13,11,6,2
2023-02-11,51,26,23,36,14,5,10,6,4
2023-02-12,23,4,16,9,3,2,5,2,2
2023-02-13,74,35,49,35,18,5,6,14,11
2023-02-14,67,34,28,54,17,11,11,6,3
2023-02-15,60,43,34,38,19,12,9,11,11
2023-02-16,70,40,34,40,20,7,0,13,5
2023-02-17,43,35,20,31,14,8,9,10,5
2023-02-18,51,30,27,31,17,8,7,2,5
2023-02-19,36,13,14,9,3,4,2,5,0
2023-02-20,49,48,40,49,17,12,5,6,6
2023-02-21,60,41,34,48,20,8,7,7,5
2023-02-22,62,29,28,42,13,14,6,8,5
2023-02-23,63,35,26,34,14,6,7,11,5
2023-02-24,60,31,25,40,11,6,6,13,5
2023-02-25,44,33,21,32,14,5,0,11,6
2023-02-26,27,11,14,13,6,8,1,3,0
2023-02-27,56,45,38,31,20,7,9,11,6
2023-02-28,63,65,38,38,19,4,8,14,7
2023-03-01,62,43,34,48,20,9,9,8,6
2023-03-02,65,46,28,44,14,11,10,10,5
2023-03-03,55,32,26,35,10,7,7,13,4
2023-03-04,38,31,22,31,18,6,2,9,2
2023-03-05,36,16,9,11,4,4,3,6,0
2023-03-06,66,35,25,40,12,4,9,4,7
2023-03-07,55,45,39,29,17,9,7,14,4
2023-03-08,47,44,23,42,15,9,11,9,6
2023-03-09,18,35,31,40,14,4,3,9,8
2023-03-10,30,46,29,45,20,5,5,9,8
2023-03-11,16,28,20,37,18,3,2,7,4
2023-03-12,1,10,8,7,5,4,0,6,2
2023-03-13,46,45,21,41,11,2,11,4,3
2023-03-14,53,43,26,36,14,3,8,12,6
2023-03-15,54,45,17,32,16,3,9,5,1
2023-03-16,50,32,35,29,10,4,11,10,2
2023-03-17,48,42,35,35,11,7,6,8,9
2023-03-18,16,27,14,26,20,2,2,6,0
2023-03-19,0,12,1,8,3,9,0,3,0
2023-03-20,77,44,35,27,12,5,12,11,4
2023-03-21,80,30,38,32,14,4,13,13,4
2023-03-22,60,48,28,43,15,7,7,8,8
2023-03-23,55,41,21,42,13,5,6,9,3
2023-03-24,41,38,21,35,9,4,4,9,5
2023-03-25,9,26,15,18,16,1,0,6,0
2023-03-26,1,17,1,12,3,4,0,3,0
2023-03-27,76,46,32,36,19,3,17,10,13
2023-03-28,46,44,18,28,16,7,10,9,10
2023-03-29,67,33,26,31,6,8,8,8,9
2023-03-30,61,39,31,35,11,4,9,12,2
2023-03-31,52,45,19,36,8,6,7,8,5
2023-04-01,16,36,15,20,12,0,0,4,2
2023-04-02,0,11,1,13,1,2,0,3,0
2023-04-03,61,35,25,28,10,6,8,11,9
2023-04-04,57,42,25,26,12,3,7,15,4
2023-04-05,58,43,22,23,10,3,8,17,6
2023-04-06,47,30,10,16,0,6,8,7,3
2023-04-07,0,43,28,11,6,12,2,10,4
2023-04-08,24,15,12,13,5,7,0,9,6
2023-04-09,0,7,0,7,3,2,0,2,0
2023-04-10,0,9,11,29,3,4,0,4,9
2023-04-11,73,42,41,14,8,10,9,11,8
2023-04-12,74,26,31,19,11,6,6,7,7
2023-04-13,67,32,45,32,5,7,9,16,4
2023-04-14,59,33,37,32,9,8,4,11,9
2023-04-15,26,23,21,25,13,3,1,8,2
2023-04-16,0,4,1,0,0,6,0,5,0
2023-04-17,72,35,36,37,12,4,12,8,8
2023-04-18,63,50,29,34,13,8,6,9,10
2023-04-19,65,57,31,37,5,4,8,13,6
2023-04-20,78,26,33,38,8,6,8,11,6
2023-04-21,74,29,21,36,12,4,4,13,6
2023-04-22,21,8,14,15,13,4,0,10,2
2023-04-23,0,3,0,1,0,4,0,1,0
2023-04-24,78,44,40,45,6,9,7,10,10
2023-04-25,79,2,36,30,11,8,5,9,3
2023-04-26,73,50,36,23,9,7,6,2,7
2023-04-27,51,37,30,33,8,5,4,6,0
2023-04-28,66,40,31,23,4,7,4,10,6
2023-04-29,16,22,9,18,7,2,0,7,4
2023-04-30,0,2,0,0,0,3,0,1,1
2023-05-01,0,0,1,5,0,4,0,2,6
2023-05-02,75,40,43,20,4,11,8,18,3
2023-05-03,83,45,30,41,0,9,5,13,8
2023-05-04,53,34,19,47,12,1,4,10,4
2023-05-05,67,48,20,36,10,7,8,16,5
2023-05-06,20,19,13,16,7,2,1,4,3
2023-05-07,0,2,0,1,0,3,0,3,0
2023-05-08,93,65,18,47,12,5,8,11,6
2023-05-09,64,31,32,44,10,6,8,9,6
2023-05-10,54,52,34,29,11,3,2,12,4
2023-05-11,61,46,20,38,10,2,4,14,8
2023-05-12,59,47,30,28,7,7,4,16,6
2023-05-13,14,32,11,21,15,1,1,4,3
2023-05-14,0,2,0,0,0,2,0,0,1
2023-05-15,88,47,33,35,6,2,13,21,8
2023-05-16,52,44,36,41,15,7,4,7,5
2023-05-17,54,58,24,40,4,9,7,12,2
2023-05-18,0,50,19,37,8,1,0,0,1
2023-05-19,77,41,24,27,7,4,9,5,6
2023-05-20,8,17,11,20,3,1,0,0,2
2023-05-21,0,1,0,4,0,0,0,0,0
2023-05-22,73,50,33,44,7,8,11,18,12
2023-05-23,79,46,23,29,6,4,4,14,4
2023-05-24,52,43,33,38,5,10,4,15,6
2023-05-25,51,53,26,32,4,9,5,6,9
2023-05-26,46,37,25,32,4,9,4,14,10
2023-05-27,12,22,12,23,9,1,0,3,1
2023-05-28,0,0,0,0,1,2,0,0,1
2023-05-29,0,52,26,39,10,5,0,0,1
2023-05-30,91,44,30,32,6,5,4,21,6
2023-05-31,59,55,32,32,8,3,4,14,11
2023-06-01,52,31,34,39,4,3,5,7,4
2023-06-02,43,5,32,30,7,10,1,11,2
2023-06-03,17,37,13,19,8,0,0,0,3
2023-06-04,0,6,2,0,0,4,0,0,0
2023-06-05,67,52,32,35,5,2,4,13,3
2023-06-06,57,49,27,27,9,1,5,10,3
2023-06-07,67,39,24,32,8,3,4,10,9
2023-06-08,60,35,31,27,0,6,0,13,8
2023-06-09,44,35,33,41,9,5,1,9,6
2023-06-10,15,23,15,16,4,5,0,0,5
2023-06-11,0,3,1,0,0,3,1,0,0
2023-06-12,76,38,38,37,6,4,12,16,5
2023-06-13,70,55,22,36,6,5,8,10,10
2023-06-14,48,32,31,32,6,3,9,11,5
2023-06-15,56,39,27,30,6,7,7,10,2
2023-06-16,50,26,25,30,4,8,3,13,2
2023-06-17,20,16,13,13,4,2,1,0,1
2023-06-18,0,8,0,0,0,3,0,0,0
2023-06-19,48,44,43,36,4,6,10,21,7
2023-06-20,72,43,33,41,5,6,6,21,11
2023-06-21,41,43,29,44,5,4,4,8,10
2023-06-22,57,43,34,34,6,7,4,12,7
2023-06-23,53,33,27,30,8,0,3,10,7
2023-06-24,23,16,14,12,7,0,0,0,0
2023-06-25,0,3,1,0,0,3,0,0,0
2023-06-26,65,50,47,41,7,8,11,17,5
2023-06-27,62,45,43,41,7,3,11,15,4
2023-06-28,46,46,26,43,4,2,8,7,4
2023-06-29,46,36,23,25,0,5,12,9,8
2023-06-30,45,35,28,35,9,8,3,6,7
2023-07-01,34,13,13,14,4,3,1,1,1
2023-07-02,0,1,0,0,0,4,0,0,0
2023-07-03,63,49,34,49,7,6,10,19,10
2023-07-04,96,39,30,25,8,8,10,5,5
2023-07-05,47,40,22,36,12,2,6,10,9
2023-07-06,54,46,36,48,2,2,8,2,4
2023-07-07,70,34,19,32,4,4,8,10,5
2023-07-08,19,21,18,16,6,3,1,0,0
2023-07-09,0,0,0,0,0,1,0,0,0
2023-07-10,60,45,43,50,4,2,10,12,10
2023-07-11,64,42,22,36,9,1,8,16,6
2023-07-12,59,44,33,50,5,5,8,8,0
2023-07-13,61,34,44,38,12,3,8,8,3
2023-07-14,54,31,10,34,4,5,5,6,2
2023-07-15,24,17,17,15,2,2,0,0,0
2023-07-16,1,3,0,0,0,1,0,0,0
2023-07-17,78,44,37,36,8,7,8,22,15
2023-07-18,78,49,26,35,3,1,12,14,6
2023-07-19,67,31,20,35,5,2,12,6,4
2023-07-20,57,48,34,40,7,6,6,10,9
2023-07-21,58,39,28,33,5,2,5,0,2
2023-07-22,14,25,5,9,7,2,2,6,0
2023-07-23,0,3,0,0,0,3,0,0,0
2023-07-24,74,33,28,50,4,4,12,13,10
2023-07-25,93,41,28,35,4,2,2,16,6
2023-07-26,70,41,26,40,6,2,6,10,4
2023-07-27,51,40,27,28,2,4,3,6,9
2023-07-28,40,40,14,24,2,4,4,6,7
2023-07-29,12,21,17,15,14,3,1,1,9
2023-07-30,0,0,0,0,0,4,0,0,1
2023-07-31,80,48,22,43,3,4,9,22,8
2023-08-01,72,39,26,40,8,4,8,10,8
2023-08-02,63,37,22,31,5,2,4,15,4
2023-08-03,62,31,20,34,9,5,7,12,9
2023-08-04,41,32,17,29,8,7,11,9,2
2023-08-05,19,11,17,7,5,2,0,2,2
2023-08-06,0,2,0,0,0,3,0,0,0
2023-08-07,84,45,26,37,12,3,9,14,10
2023-08-08,74,30,24,38,4,4,10,8,7
2023-08-09,68,36,45,30,9,5,4,6,8
2023-08-10,47,47,22,28,10,4,1,8,5
2023-08-11,52,41,31,27,7,5,3,7,8
2023-08-12,32,28,13,10,4,3,1,4,3
2023-08-13,0,3,0,0,0,2,0,0,0
2023-08-14,85,37,26,36,2,5,4,9,8
2023-08-15,70,3,14,0,0,7,0,0,8
2023-08-16,79,25,29,41,11,3,4,11,10
2023-08-17,62,40,37,34,8,3,4,12,4
2023-08-18,77,34,28,31,9,5,5,9,6
2023-08-19,11,16,12,9,9,1,0,7,5
2023-08-20,0,2,1,0,0,4,0,0,0
2023-08-21,100,41,32,42,8,3,9,13,4
2023-08-22,88,32,36,33,10,3,3,12,7
2023-08-23,74,42,21,40,12,2,5,9,3
2023-08-24,59,45,31,40,8,4,4,7,6
2023-08-25,60,51,28,30,5,5,14,9,4
2023-08-26,18,16,23,9,6,3,0,6,4
2023-08-27,0,6,0,0,2,1,0,0,0
2023-08-28,105,51,49,36,12,3,11,10,7
2023-08-29,81,47,41,36,10,3,7,7,4
2023-08-30,92,47,27,42,4,6,8,10,5
2023-08-31,70,53,30,29,10,5,8,10,0
2023-09-01,74,38,19,33,11,3,1,7,8
2023-09-02,16,26,21,2,7,1,0,2,3
2023-09-03,0,3,0,0,0,2,0,0,0
2023-09-04,138,56,32,42,14,4,6,12,9
2023-09-05,85,54,33,45,5,1,10,10,4
2023-09-06,68,40,44,32,9,2,8,4,9
2023-09-07,75,64,36,32,12,2,5,10,6
2023-09-08,77,53,27,38,5,2,2,12,4
2023-09-09,27,30,22,20,9,2,2,9,0
2023-09-10,0,1,0,0,0,0,0,0,0
2023-09-11,106,58,52,40,7,1,14,12,8
2023-09-12,89,49,35,29,12,6,6,7,8
2023-09-13,64,53,26,38,8,4,5,7,4
2023-09-14,91,59,32,28,6,7,3,10,6
2023-09-15,81,40,28,38,8,4,3,14,7
2023-09-16,28,25,19,13,5,4,0,9,0
2023-09-17,4,2,0,0,0,3,0,0,0
2023-09-18,81,47,38,41,6,6,11,6,15
2023-09-19,83,49,36,36,6,3,5,18,8
2023-09-20,72,47,33,39,7,5,5,8,6
2023-09-21,59,54,32,26,10,4,9,10,7
2023-09-22,80,51,22,42,2,1,3,11,10
2023-09-23,29,19,22,17,5,3,1,4,3
2023-09-24,0,2,0,0,0,2,0,0,0
2023-09-25,87,60,34,44,9,3,14,6,10
2023-09-26,73,44,36,43,8,2,9,12,6
2023-09-27,84,61,28,38,6,7,13,1,8
2023-09-28,72,40,22,40,12,3,5,14,8
2023-09-29,70,36,30,35,5,3,5,4,7
2023-09-30,37,29,15,11,7,2,1,10,5
2023-10-01,0,3,0,1,0,0,0,0,0
2023-10-02,77,49,43,42,7,2,12,7,6
2023-10-03,1,35,25,28,10,3,6,12,10
2023-10-04,138,32,26,35,11,2,4,10,11
2023-10-05,68,45,34,30,8,4,10,11,3
2023-10-06,61,36,21,29,5,3,6,11,7
2023-10-07,15,24,10,15,2,3,1,3,2
2023-10-08,0,4,0,2,0,4,0,0,0
2023-10-09,108,43,33,35,7,4,11,6,7
2023-10-10,86,39,32,40,5,5,9,9,12
2023-10-11,64,51,26,24,9,3,2,9,4
2023-10-12,71,45,30,10,4,3,4,8,8
2023-10-13,71,44,27,28,8,4,10,6,4
2023-10-14,29,26,16,15,5,1,2,1,4
2023-10-15,0,2,0,0,0,2,0,0,0
2023-10-16,77,48,43,48,11,4,7,14,11
2023-10-17,72,48,32,40,3,5,10,7,8
2023-10-18,65,58,22,31,5,5,4,13,10
2023-10-19,69,38,24,40,5,8,4,11,5
2023-10-20,58,44,37,31,10,3,5,13,8
2023-10-21,34,22,16,20,8,1,0,7,3
2023-10-22,0,2,0,0,0,2,0,0,1
2023-10-23,91,42,48,34,13,1,11,10,11
2023-10-24,79,52,41,41,7,3,10,17,7
2023-10-25,91,42,30,41,13,3,9,9,5
2023-10-26,70,42,24,36,6,4,0,15,7
2023-10-27,58,37,28,32,7,2,7,4,8
2023-10-28,13,19,13,12,5,4,2,6,6
2023-10-29,0,3,0,0,1,0,0,0,0
2023-10-30,85,53,33,41,3,5,14,12,9
2023-10-31,50,40,43,34,14,5,7,4,10
2023-11-01,91,21,24,7,0,5,0,1,8
2023-11-02,70,33,32,36,9,6,11,11,10
2023-11-03,59,42,34,32,6,3,9,3,7
2023-11-04,50,17,20,17,8,2,1,10,2
2023-11-05,0,3,0,0,0,6,0,0,0
2023-11-06,116,45,57,35,8,3,12,14,7
2023-11-07,79,48,29,29,11,5,6,9,10
2023-11-08,78,51,41,40,6,5,6,9,8
2023-11-09,99,61,19,17,10,3,9,8,8
2023-11-10,88,43,40,25,14,8,7,15,8
2023-11-11,33,18,13,18,0,2,2,0,2
2023-11-12,0,2,0,1,0,1,0,0,0
2023-11-13,119,57,55,30,7,2,17,16,10
2023-11-14,107,46,39,45,7,6,10,13,6
2023-11-15,88,46,25,23,10,3,5,8,6
2023-11-16,77,51,35,42,6,9,7,8,11
2023-11-17,77,42,32,31,7,7,4,16,13
2023-11-18,26,18,20,22,4,2,1,7,5
2023-11-19,0,1,0,1,0,3,0,0,0
2023-11-20,119,41,49,46,11,4,12,13,6
2023-11-21,84,51,34,27,4,5,12,8,7
2023-11-22,103,60,35,39,7,6,3,10,11
2023-11-23,88,29,32,45,8,7,6,19,4
2023-11-24,76,50,35,27,7,1,6,14,8
2023-11-25,23,21,19,22,6,6,0,4,5
2023-11-26,0,0,0,0,0,1,0,0,0
2023-11-27,91,60,38,48,4,6,8,20,8
2023-11-28,92,59,38,35,8,4,9,10,7
2023-11-29,92,46,37,29,4,6,10,5,6
2023-11-30,79,47,36,31,6,4,9,14,6
2023-12-01,77,40,30,22,6,3,7,10,9
2023-12-02,25,16,21,13,9,1,0,5,1
2023-12-03,0,1,0,0,0,1,0,0,0
2023-12-04,95,61,43,35,8,7,13,12,12
2023-12-05,103,50,26,32,8,8,9,8,7
2023-12-06,101,43,41,15,5,6,2,7,12
2023-12-07,83,37,28,19,8,3,8,8,4
2023-12-08,59,5,28,9,7,2,0,7,7
2023-12-09,35,26,19,8,6,3,0,11,7
2023-12-10,0,2,0,1,1,3,0,0,0
2023-12-11,59,67,38,51,5,3,9,17,9
2023-12-12,58,32,33,37,10,5,11,10,6
2023-12-13,83,44,36,38,8,6,4,11,6
2023-12-14,68,38,22,32,7,2,7,12,7
2023-12-15,56,45,17,27,6,4,5,6,9
2023-12-16,31,24,10,18,6,3,1,5,3
2023-12-17,0,1,0,0,0,1,0,0,0
2023-12-18,76,46,42,42,5,6,12,13,7
2023-12-19,65,37,38,27,3,1,9,9,10
