company,cars_bought,type_buyer,frequency,recency,monetary,hp,age,mileage,sell_price,share_gear_type_1140_1141,share_gear_type_1139,share_gear_type_1138,share_fuel_type_1140,share_fuel_type_1139,share_fuel_type_other,profit_per_car
Babarczy-Car Kft.,7,Small_buyer,3,8,6,92,2012,115785,5839,0,0.142857143,0.857142857,0,0.857142857,0.142857143,789
salesucces,1,Small_buyer,1,10,2,100,2010,128060,4318,0,0,1,0,1,0,680
"Gala Automobile, Inh. Talip Turgut",20,Medium_buyer,6,1,7,94,2008,149584,2524,0.3,0.05,0.65,0.35,0.65,0,206.45
Suple Shop Łętowski Krystian,8,Small_buyer,3,10,3,136,2006,254698,1239,0,0.25,0.75,0.125,0.875,0,264.875
"Auto Neubert, Inh. Thomas Neubert",35,Medium_buyer,7,3,9,102,2010,80836,4904,0,0.085714286,0.914285714,0.085714286,0.857142857,0.057142857,638.6857143
"XandiAutomobile, Inh. Alexander Wolf",3,Small_buyer,2,7,2,83,2005,177901,1103,0,0,1,0,1,0,334
AC LOKA Samir Džaferović s.p,3,Small_buyer,2,6,5,135,2013,236761,7982,0.666666667,0,0.333333333,1,0,0,872
Kris Geudens,6,Small_buyer,3,7,6,98,2014,92667,8324,0,0,1,0,1,0,457.8333333
WS AUTO SAS,5,Small_buyer,3,6,3,120,2003,184234,1135,0,0.2,0.8,0,1,0,212.8
Mehmet Danaj,1,Small_buyer,1,10,3,102,2011,282099,5118,0,0,1,1,0,0,861
KŐRÖS-MOBIL KERESKEDELMI ÉS SZOLGÁLTATÓ KFT,9,Small_buyer,3,7,4,89,2007,197317,1362,0,0,1,0,1,0,236.8888889
"TK Kfz-Aufbereitung Service, Inh. Thomas Köhn",2,Small_buyer,1,9,3,87,2009,118489,3631,0,0,1,0,1,0,415.5
Martin Michna,1,Small_buyer,1,10,2,230,2007,277010,4368,0,0,1,1,0,0,989
NYÍRIMPEX 2002 GÉPJÁRMŰ-KERESKEDELMI BETÉTI TÁRSASÁG,14,Small_buyer,4,2,6,115,2007,170781,3011,0,0,1,0.071428571,0.928571429,0,461.4285714
AD Autoservice,3,Small_buyer,2,8,4,109,2010,142057,4355,0,0,1,0,1,0,443
"Kolukisa, Osman",1,Small_buyer,1,7,3,170,2016,105238,6724,0,0,1,1,0,0,-585
"TOSA, GRADBENIŠTVO IN TELEKOMUNIKACIJE, D.O.O.",2,Small_buyer,1,10,5,145,2015,78110,13018,0.5,0,0.5,0,1,0,301.5
BELUSSI MOTORS DI BELUSSI IVAN E BELUSSI EMANUELE E C. S.N.C.,8,Small_buyer,3,6,9,104,2017,44383,16102,0.25,0,0.75,0.25,0.75,0,721.75
Monika Škarková,22,Medium_buyer,6,1,9,132,2011,178449,6983,0.227272727,0,0.772727273,0.909090909,0.090909091,0,699.7727273
KATIA MARTIN ALONSO,2,Small_buyer,1,5,2,122,2008,231960,2262,0,0,1,1,0,0,174.5
RD AUTO'S,6,Small_buyer,3,6,9,239,2017,76568,30642,0.666666667,0.333333333,0,0,1,0,1514.333333
PASSZ MOBIL Gépjármű-kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,1,Small_buyer,1,10,2,70,2013,131740,2761,0,0,1,0,1,0,261
YOUNGTIMER CARS SRL,2,Small_buyer,1,8,7,259,2005,67934,34038,0,0,1,0,1,0,1439.5
"A B Automobile, Inh. Ahmet Birgin",2,Small_buyer,1,7,2,88,2004,126219,1968,0,0,1,0,1,0,291.5
GLOBEX ZAFER AUTO SRL,6,Small_buyer,3,6,5,117,2010,205458,4107,0,0,1,0.5,0.5,0,645.6666667
NOGUEIRA AUTOS,1,Small_buyer,1,6,5,272,2015,90689,21140,1,0,0,0,1,0,2133
